count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
26114,E,2005,2005-04-11,18,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,47,108,540,46,0,2,0,0,0,0,0,2,696
26114,W,2005,2005-04-11,7,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,20,0,0,47,0,0,0,0,0,0,0,0,47
26114,W,2005,2005-04-11,8,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,19,0,0,54,0,0,0,0,0,0,0,0,54
26114,W,2005,2005-04-11,9,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,2,0,0,53,0,0,0,0,0,0,0,0,53
26114,W,2005,2005-04-11,10,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,2,0,0,36,0,0,0,0,0,0,0,0,36
26114,W,2005,2005-04-11,11,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,5,0,0,40,0,0,0,0,0,0,0,0,40
26114,W,2005,2005-04-11,12,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,13,0,0,43,0,0,0,0,0,0,0,0,43
26114,W,2005,2005-04-11,13,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,13,0,0,42,0,0,0,0,0,0,0,0,42
26114,W,2005,2005-04-11,14,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,18,0,0,42,0,0,0,0,0,0,0,0,42
26114,W,2005,2005-04-11,15,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,22,0,0,46,0,0,0,0,0,0,0,0,46
26114,W,2005,2005-04-11,16,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,20,0,0,54,0,0,0,0,0,0,0,0,54
26114,W,2005,2005-04-11,17,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,11,0,0,56,0,0,0,0,0,0,0,0,56
26114,W,2005,2005-04-11,18,6,London,109,Westminster,A4,Major,"St James St","Regent Street/ Picc Circus",529395,180534,51.50893013,-0.13687002,0.50,0.31,30,0,0,56,0,0,0,0,0,0,0,0,56
26146,N,2005,2005-05-06,7,6,London,109,Westminster,A5,Major,"Praed St",A501/A4209,527180,181580,51.51883277,-0.16839245,0.20,0.12,14,48,623,35,286,34,0,4,4,3,0,45,1037
26146,N,2005,2005-05-06,8,6,London,109,Westminster,A5,Major,"Praed St",A501/A4209,527180,181580,51.51883277,-0.16839245,0.20,0.12,16,26,624,36,200,38,1,3,5,2,2,51,937
26146,N,2005,2005-05-06,9,6,London,109,Westminster,A5,Major,"Praed St",A501/A4209,527180,181580,51.51883277,-0.16839245,0.20,0.12,8,43,524,38,249,50,4,0,2,4,3,63,917
